name,birthdate,deathdate,website,bio,faculty,student
"Abrahamson, Mark",1944,,"http://www.markabrahamson.com/index/html","Born in 1944 in Seattle, Washington, Mark Abrahamson has an educational background in science, with a B.A. in chemistry from Whitman College and a doctrate in dental surgery from University of Washington. His interest in aerial photography is rooted in environmental concerns of climate change and water. He also worked for a decade on land use, watershed restoration, and water quality in local politics. Abrahamson now works exclusively as a photographer and lecturer on the effects of climate change. He has taken arial photographs of watersheds across the country, including include rural watersheds in Washington, urban watersheds in Chicago and New York, and the Lowcountry of Savannah, Georgia. ",,
"Ace, Katherine",1953,,"http://www.katherineace.com","Katherine Ace is a self-taught artist and works with alkyd/oil on canvas. She was born in Chicago in 1953, and prior to moving to Oregon and establishing a studio in 1990, she spent about 15 years moving from state to state. On her style, she has said, “The dynamics inherent in contradiction and ambiguity fascinates me... I enjoy bringing together loose flowing passages with points of intense detailed focus and bringing abstract thinking together with realistic technique. I am interested in the role of dark feelings, thoughts and states of mind in the process of transformation. I am drawn to fire beneath reserve...I find that the content of a picture is actual, literal depth and dimension in art. It includes not only the pointing finger but where the finger points.” ",,
"Adams, Jim",1951,,"http://www.jimadamsart.com","Jim Adams was born in 1951 in Santa Monica, California and grew up east of Los Angeles. After traveling some, he finished his undergraduate education at Humboldt State University in Arcata, California. In 1979, he and his wife moved to Corvallis, where he has lived, drawn, and taught art at Linn-Benton Community College and Oregon State University. “My artwork is a kind of spontaneous expression of some sort of inner tale that wants to be told,” he has said, adding that his pieces tend to express a state of mind instead of a specific story. The titles of his pieces are integral to his work, he has said, and generally arise “once the direction the imagery seems to be taking becomes apparent.” ",TRUE,
"Adams, T.",,,,,FALSE,FALSE
"Aleey, Steve",,,,,,
"Allen, Tom",,,,"Though he worked mainly in the botany and plant pathology department at Oregon State University, Thomas Allen's artistic work left a lasting legacy for the school. In 1986, he was named OSU's first artist-in-residence, and in 1983, he implemented the first Art About Agriculture exhibit.",TRUE,
"Anderson, Thomas",1951,,"http://www.thomasandersonart.com","Born in 1951 in Salt Lake City, Thomas Anderson moved around often with his family as a child, and by the age of four, he had lived in 39 states. After graduating from Evergreen State College in Olympia, Washington in 1973, he co-founded Mansion Glass Studios. He attended the Pilchuck Glass Studio for numerous years in the late 1980s, most often as a teaching assistant. In 1990, he established his own studio in Olympia. ",,
"Andolina, Gary",,,,"Holding an M.F.A. from the University of Washington, Gary Andolina considers his work to be within Minimalism, though to him, “Minimalism stressed the machined precision. I feel the hand of the artist should not be hidden and craftsmanship is very important to me.” Viewers’ personal reflections on his pieces are also very important to him: “Many of my pieces show a dichotomy of materials such as: strength and fragility, or natural and man-made materials. The combination of opposing materials such as steel and glass or wood and steel allow me a vocabulary of opposites that meld together in interesting combinations. I feel the mixing of materials allows the viewer to identify with the works and have a closer relationship with the pieces. The viewer is important and is considered in the scale of my work, many of which are sized to the human body.” ",,
"Arbogast, Sandra",,,,,FALSE,FALSE
"Archibald, Jack",,,"http://archibaldglass.com/","Jack Archibald is a sculptor from Washington who works primarily with glass. He has work hanging in schools, libraries, and other public buildings across the state of Washington.",FALSE,FALSE
"Audubon, John James",1785,1851,"http://www.audubon.org/john-james-audubon","Born in 1785 in what would become Haiti, John James Audubon was a famous American ornithologist, naturalist, and painter. He was known for creating detailed watercolors of American birds. He emigrated to the United States in 1803 to avoid being conscripted, and he started documenting birds when he moved to a large homestead in Pennsylvania near Valley Forge. He compiled his paintings together into a book called ""The Birds of America,"" a commercial and artistic success. He was known for painting birds in lifelike poses in their natural habitat. He would trap the birds and then prop them up naturally with wires so that they appeared natural, often as if caught in motion. His birds are painted life-size, accounting for the somewhat unusual position of some of the larger birds. Audubon died in New York in 1851.",,
"Austan, Clark",,,,,,
"Avati, Mario",1921,2009,"http://rogallery.com/avati_mario/avati-biography.html","Born in Monaco in 1921, Mario Avati was a French painter and engraver known for his mezzotint prints. He studied at the National School of Decorative Arts in Nice and the National School of Fine Arts in Paris and became known for his revival of the arduous mezzotint process, which allows multiple shades of the same color as a drypoint process. Most of his art was still lifes or was focused on animal subjects. Avati died in 2009.",,
"Balciar, Gerald",1942,,"http://www.bighorngalleries.com/balciar.htm","Born in 1942 in Wisconsin, Gerald Balciar showed a fascination for art early in life. His sculpture demonstrates his careful understanding of animals, and he works from photographs, casts, measurements, and live models. He is a member of the National Sculpture Society, Society of Animal Artists, Allied Artists of America, and Northwest Rendevouz Group. He has also won multiple awards from the National Sculpture Society and the Prix de West from the National Academy of Western Art.",,
"Ball Studios of Corvallis",,,"http://theballstudio.com","In 1912, William Maurice Ball opened a photography studio in Corvallis. He worked there until 1939 when his son took over. The studio remains open.",,
"Ball, William Maurice",,,"http://theballstudio.com","In 1912, William Maurice Ball opened a photography studio in Corvallis. He worked there until 1939 when his son took over. The studio remains open.",,
"Bartow, Rick",,,"http://www.froelickgallery.com/Artist-Detail.cfm?ArtistsID=227","Born and raised on the Oregon coast, Rick Bartow’s art is largely influenced by his personal experiences: serving in Vietnam, quitting alcohol, and hearing myths like Native American transformation stories. During the times of emotional turmoil in his life, he turned to drawing to “exorcise the demons that had made me strange to myself.” Bartow currently lives in Newport on land that belonged to his Yurok father. Among his installed pieces include ""We Were Always Here,"" two twenty-foot tall carved poles that stand outside the National Museum of the American Indian in Washington, D.C. “The frailty of life on this planet and the need to recognize the interconnectedness of all species are common threads of Bartow's work,"" reads the plaque next to the piece. ",,
"Beals, Joella",,,,,,TRUE
"Bell, Maurice",,,,,,
"Benson, Carol",,,,"Carol Benson is a Portland-based artist and arts educator. She received bachelor's degrees in painting and art history from the University of Washington before going on to earn her M.F.A. from the School of the Art Institute of Chicago. Her work is displayed at the Blackfish Gallery in Portland.",FALSE,FALSE
"Blix, Weltzin",,,,"Eugene resident Weltzin Blix began his career as a physicist, studying at Carroll College in Wisconsin and Northern Illinois University. He began a Ph.D. program at University of New Mexico and later left to accept a job at Los Alamos Scientific Laboratory. After leaving Los Alamos and briefly going to Michigan State to continue doctorate work, he decided to change careers; he then moved to Oregon to study architecture at University of Oregon, earning an M.F.A. in 1969. Blix taught sculpture, ceramics, and drawing at Lane Community College in Eugene for over 30 years before he retired in 2002. During his long career, he received numerous awards, including a Visual Arts Fellowship from the National Endowment of the Arts in 1984. His largest and most well-known piece is the Oregon Capitol Fountain in Salem. ",,
"Bomberger, Bruce",,,,,,
"Botero, Kirk",,,,"Kirk Botero is a Portland painter who is a member of the Blackfish Gallery. He received his B.S. in art at Utah State University and has had exhibitions across the Pacific Northwest in addition to a show at the 55 Mercer Gallery in New York.",FALSE,FALSE
"Boyden, Frank",,,"http://frankboydenstudio.com","An Oregon native, Frank Boyden received his B.A. in art from Colorado College and a B.F.A. and M.F.A. from Yale University’s School of Art. In 1970, he and his wife Jane opened the Sitka Center for Art and Ecology north of Lincoln City, Oregon, which provides various workshops and residencies. In 1991, Frank and his brother Bradley began the Margery Davis Boyden Wilderness Writing Residency in southwest Oregon. He began working with cast bronze in 1989. Among his large commissions include the Vietnam War memorial in Newport, Oregon. ",,
"Bracher, Gretchen",,,"http://gretchenbracher.com/About.html","Gretchen Bracher was a graphic artist for the Oregon State University's College of Forestry. In addition to murals and graphic design, Gretchen also paints.",,TRUE
"Branch, Harrison",,,,"Harrison Branch was a professor of photography at Oregon State University.",TRUE,
"Brauner, Ken",,2008,"http://www.kenbrauner.com","Ken Brauner was born in Corvallis, Oregon in a house next door to what is now Oregon State University. During his career, he completed over 400 oil paintings, and in recognition of his 45 years of artistic contributions, he had an Honorary Life Membership in the Oregon Logging Conference. Brauner died in 2008. ",,
"Brooks, Drex",1952,,"http://www.drexbrooks.com","Born in Seattle, Washington in 1952 and currently residing in Ogden, Utah where he teaches at Weber State University, Brooks received his B.F.A. in photography from Oregon State University in 1976. He then went on to receive his M.F.A. in photography at the Rhode Island School of Design in 1980. Among his artistic accomplishments include Visual Artist Fellowship Grants from the National Endowment of the Arts in 1988 and 1992 and a Residency Fellowship at LaNapoule Foundation through the French Ministry of Culture and National Endowment of the Arts. Brooks has been fascinated with Native American culture since he was a child, and that fascination inspires a lot of his work. ",,
"Brophy, Michael",,,"http://www.laurarusso.com/artist/brophy_m.html","A 1985 graduate of the Pacific Northwest College of Art, Michael Brophy has received numerous awards for his work, including a National Endowment of the Arts Fellowship from the Western States Art Federation and a Pollock-Krasner Foundation grant. He has taught at Portland State University and the Pacific Northwest College of Art. ",,
"Brother, Beliz",,,,"Beliz Brother received her B.F.A. from Prescott College in Arizona. She currently lives and works out of Seattle, but during her long career, she has also worked as a visiting lecturer in Japan and received four National Endowment of the Arts Fellowships, one through the Japan-U.S. Friendship Commission that allowed her to work in Japan for a year. She also received a Lila Wallace & Arts International Artist Fellowship for cultural research and traveled throughout Indonesia studying traditional architecture.",,
"Brown, Clint",,,"http://clintbrownartist.com","Professor Emeritus at Oregon State University, Clint Brown has also taught art at Trent Polytechnic (now Nottingham Trent University) in Nottingham, England as a Fulbright Exchange Professor, Seattle Pacific University, and University of Southern California. His education credentials include a B.F.A. from the University of Wisconsin at Milwaukee, an M.A. in sculpting from the University of Wyoming at Laramie, and an M.F.A. from the University of Southern California.",TRUE,
"Brown, Joan",1938,1990,"http://joanbrownestate.org","Born in 1938, Joan Brown was a prominent ""second generation"" painter of the Bay Area Figurative movement. Her work is known for its vibrant color and symbolism. She first showed her work in the Whitney Museum when she was 22 and later in New York when she was 24. Shortly afterwords, feeling pressure to maintain her sucess, Brown abandoned painting and started traveling. During this time, she began working on public sculpture. Later, when she started painting again in 1974, she increasingly delved into symbolism with what she called ""inward journeys,"" paintings that focused on religious symbolism. She died in a construction accident while installing a sculpture at a museum in India in 1990.",,
"Bruening, Peter",1929,1970,"http://www.peter-bruening.com","Born in Düsseldorf in 1929, Peter Bruening was a painter who studied at the Akademie der Bildenden Künste in Stuttgart. His early work was quite varied, but he followed the style of Fernand Léger and Pablo Picasso. He joined with Gerhard Hoehme and Winfred Gaul in 1953 to form the group that would later become Gruppe 53. He spent some time in France, and was heavily influenced by Art Informel, a movement similar to abstract expressionism. Later in life, he began working with sculpture, creating some of his best known work. Bruening died in 1970.",,
"Bruner, Howard",,,"http://www.howardbruner.com/","Howard Bruner is an American oil painter who focuses on natural landscapes. He was a faculty research assistant for the College of Forestry at Oregon State University, but he is now retired and spends much of his time painting.",TRUE,
"Buckingham, Christopher",,,,"Christopher Buckingham is a Portland-based artist and musician. He is best known for his work with Chad Atkins in the microcinema organization Charm Bracelet.",,
"Buckner, Kay",1935,,,"Kay Buckner was born in 1935 and grew up in Seattle, Washington where she also attended the University of Washington. In 1954, she was awarded a full-tuition scholarship to the Art Institute of Chicago, and she later received her M.F.A. in painting from Claremont Graduate School in 1961. After moving to Eugene in 1962, she began teaching at University of Oregon and continued painting and receiving awards at national exhibits, like the New Mexico International in 1981, in which she placed first. In the 1990s, she began working with textiles, and from 1992-1996, the United States Department of State featured her work in its Art in the Embassies program. ",,
"Burnet, Don",,,,,,
"Bush, S.",,,,,,
"Cain, Sean",,,"http://www.laurarusso.com/artists/cain_s.html","Sean Cain’s work gravitates towards classical traditions, using chiaroscuro—strong contrasts between light and dark—to highlight the figures in his pieces. Much of his recent work depicts female figures holding large, billowy pieces of cloth, the textures of the fabric highlighted by his use of chiaroscuro and the way he thinly layers paint like a wash. Born in Xenia, Ohio in 1968, Cain first studied in the early 1990s at the Art Institute of Chicago then at the Pacific Northwest College of Art in Portland. Cain “combines surrealism, humor, and a high level of craftsmanship to attain a compelling and heroic narrative,” according to his bio provided to the Valley Library’s Northwest Art Collection. ",,
"Calvo, Robert",,,,"From plaque (Tableau): Robert Calvo is known for his experimental approach to materials and techniques, and is equally at home with such disparate projects as large-scale public sculpture, murals, collage and painting. Born in Galveston, Texas, Calvo studied art in Los Angeles and Tampa, Florida, and has exhibited widely on the East Coast as well as the Pacific Northwest. A two-time recipient of the National Endowment for the Arts awards, he has lived in Portland for the last two decades.",FALSE,FALSE
"Camacho, Joelle",,,,,,TRUE
"Campbell, Nicholas",,,,,,TRUE
"Carkhuff, Christy",,,,,,
"Caron, Sidonie",,,"http://sidoniekcaron.com/","Sidonie Caron is an Oregon painter who works primarily with oil. She was born in Berlin and emigrated to Holland when she was a year old in 1933. She later moved to England, where she was educated at St. Martin’s School of Art and the Central School of Arts and Crafts, and then moved to the United States in 1965. She describes herself as an ""eclectic artist"" and paints on a wide variety of themes and subjects, but her landscapes tend to be impressionistic.",,
"Cave, Claudia",1951,,"http://claudiacave.com/","Born in 1951, Claudia Cave is an Oregon surrealist painter. Her work has been shown in exhibitions across the United States, including the Seattle and Portland Art Museums. She works primarily with gouache but also uses watercolor.",,
"Chappell, Berkley",1934,2011,,"Berkely Chappell was born in Pueblo, Colorado in 1934 and later moved to Corvallis.",,
"Chartier, Jaq",,,,"From plaque (StainLines(Red)): Jaq Chartier's paintings explore scientific methods through experimentation with paint and process. All of her works are ""tests"" to discover something about materials and what they do. Inspired in part by images of DNA gel electrophoresis, Chartier investigates the migration of various stains through layers of paint and acrylic gels.",FALSE,FALSE
"Chew, Carl T.",1948,,"http://ctchew.com/","Born in 1948, in Urbana, Illinois, Carl Chew is an artist, printmaker, and rugmaker.",,
"Chew, Nancy & Metz, Jacqueline",,,"http://www.metzchew.com","Visual artists Nancy Chew and Jacqueline Metz began working together in 1997. Chew’s background is in drawing, print-making, teaching, curating, and painting, while Metz’s is in archaeology, photography, and literature. The concept of space influences much of their work. Many of their pieces can be seen around British Columbia, Canada. ",,
"Cleveland, Sally",1952,,"http://www.sallycleveland.com/archive/16.html","Sally Cleveland was born in Portland in 1952 and received her B.F.A. from Portland’s Pacific Northwest College of Art in 1981. In 1984-85 and 1988-99, she was a recipient of grants from the Ludwig Vogelstein Foundation. More recently, she has participated in group exhibitions at Western Oregon University in Monmouth, the Hult Center in Eugene, and the Whitney Museum of American Art in New York. ",,
"Colab Studio",,,"http://colabstudio.com/","Colab Studio, founded in 1999, is a collaborative laboratory, creating works that blend ideas and art and architecture. Other public art projects they have completed include a civil rights memorial in Nashville and a September 11th memorial in Phoenix, Arizona. They also conduct commercial and residential work. The studio is located in Tempe, Arizona.",,
"Coppini, Pompeo",1870,1936,"http://coppini.us/founders.html","Pompeo Coppini was born in 1870 in Moglia, Mantua, Italy and grew up in Florence. He emigrated to the United States in 1896 and moved to Texas from the East Coast in 1901 then was commissioned to sculpt the busts of Jefferson Davis and others for the Confederate monument in Austin. He continued to do numerous commissions in Texas and is best known for the Littlefield Fountain Memorial at University of Texas at Austin. In 1931, he was decorated ""Commendatore"" of the Crown of Italy for his contribution to art in America, and in 1941, he received an honorary doctorate in fine arts from Baylor University. Up until his death in 1957, he had created 36 public monuments, 16 portrait statues, and about 75 busts. Ulysses Grant McAlexander is the subject of the bust, a military hero known as Rock of the Marne who served as Commandant of Cadets at Oregon Agricultural College from 1907 to 1911 and again from 1915 to 1916. In 1930, what is now known as Oregon State University awarded him an honorary doctorate. McAlexander Fieldhouse, previously known as the armory, was renamed after him in 1971. He died in 1936 and was buried in Arlington National Cemetery.",,
"Cruson, Jon Jay",,,"http://www.wlotus.com/jonjaycruson/","John Jay Cruson graduated from the University of Oregon with a master's degree in painting, drawing, and printmaking. His work has been featured in museums and collections across the world, including the Victoria and Albert Museum in London and the Oregon State Capitol Art Collection.",,
"Cunningham, Dennis",1949,,,"Born in Medford, Oregon in 1949, Dennis Cunningham received his B.F.A. from the Pacific Northwest College of Art in 1975. He began teaching at Marylhurst College in 1986, where he now coordinates the B.F.A. program. Though known for his linocuts, he began as a painter and also teaches classes on metal sculpture, two-dimensional design, and pastel drawing. ",,
"Daulton, Terry",,,,,FALSE,FALSE
"Davis, Floyd L.",,,,,,
"Dean, Chris",,,"http://www.chrisdean.com","Chris Dean's work with lenticular printmaking began in the mid-1990s when he was a student at San Jose State University. Since then, he has started his own lenticular production company and became digital media studies instructor at the University of Detroit.",,
"Delgado, Roberto",,,,,FALSE,FALSE
"Dente, Michael",1948,,"http://www.artbydente.com/","Born in San Jose in 1948, Michael Dente is a sculptor and muralist with work installed around the world, including two sculpture exhibitions in Italy. He created the statue of St. Francis of Assisi at the Grotto in Portland. Dente was a professor of art at University of Portland and left in 2000 to teach at a private high school in Utah.",FALSE,FALSE
"Diakité, Baba Wagué",,,"http://babawague.wordpress.com/about/","Born in Mali in 1961, Baba Wague' Diakité is a painter and muralist who had his first exhibition in 1988, a few years after he moved to Portland. He gained international acclaim and has displayed his artwork across the United States. Diakité also founded the Ko-Falen Cultural Center in Bamako, Mali, a project to enable artists around the world and in Mali to collaborate on Diakité has also worked on projects besides his paintings, drawings and murals. He has written a childrens' book, and he has collaborated with his wife on a animated movie: “My Dinner With the Devil Snake.""",FALSE,FALSE
"Dingus, Marita",1957,,"http://www.sedersgallery.com/Artists/036/36-000.html","Marita Dingus was born in Auburn, Washington in 1957. She received a B.F.A. from the Tyler School of Art at Temple University in Philadelphia and an M.F.A. from San Jose State University. She is the recipient of a Guggenheim Fellowship in sculpture and a Visual Arts Fellowship from Washington State’s Artist Trust. “I taught myself how to make fences out of fabric,” she has said. “Fences out of wood and metal are heavy and take up too much space. I have made many variations of these fences. Cages and fences were built to hold Africans captured for slavery. They represent the institution of slavery.”",,
"Dougherty, Patrick",,,"http://www.stickwork.net/","Patrick Dougherty is a sculptor who works with tree saplings to create organic artworks on a large scale. He started in 1982 and has since created over 230 works out of saplings that have been displayed and met with acclaim worldwide, including installations in Scotland, Brussels, and Japan. Dougherty's work has received a number of significant awards and fellowships, including the 2011 Factor Prize for Southern Art, North Carolina Artist Fellowship Award, Pollock-Krasner Foundation Grant, Henry Moore Foundation Fellowship, Japan-US Creative Arts Fellowship, and National Endowment for the Arts Fellowship.",FALSE,FALSE
"Downing, Hank",,,,,,
"Dukehart, Jonathan",1948,,,"Born in 1948 in Rochelle, New York, Jonathan Dukehart earned his B.A.from the University of Iowa. He now resides in Portland.",,
"Dumas, Jack",1915,1998,,"Born in 1915, Jack Dumas was a natural painter and illustrator. He died in 1998.",,
"Eglau, Otto",1917,1988,,,,
"Elliott, Richard C.",1945,2008,"http://www.reflectorart.com/","Richard Eliott was a prolific American painter and artist who, in addition to painting and tiling, worked with reflectors to create a large variety of heavily geometric pieces. His work is in many public art displays and installations in the Pacific Northwest and across the country.",,
"Fairbanks, Avard",1897,1987,,"Born in 1987, Avard Tennyson Fairbanks was a well-known American sculptor. He initially studied at the Art Students League of New York when he was 13 and later moved on to the École Nationale Supérieure des Beaux-Arts when he was 17. He then studied at Yale for his undergraduate degree, moved to the University of Washington for his master's, and then studied in Florence before going on to get his Ph.D. at the University of Michigan, where he would later become a professor. His work can be seen in the United States Capitol as well as multiple state capitols. He also designed the ram symbol for Dodge and sculpted many statues for the LDS Church. Fairbanks died in 1987.",,
"Faukes, Judith Poxon",1941,,"www.laurarusso.com/artists/fawkes_j.html","Born in 1941 in Lansing, Michigan, Judith Poxon Faukes received her M.F.A. from the Cranbrook Academy of Art in 1965. She works primarily with textiles, often creating abstract geometric patterns. Her work has been commisioned by multiple universities and government buildings across the United States, including a courthouse in Portland. ",,
"Feyrer, G.",,,,,,
"Finne, Henrik",1898,1992,,"Born in 1898, Henrik Finne was a Norwegian painter, sculptor, and printmaker. He studied at the National Art Academy in Oslo. He initially began with painting but later moved more towards printmaking around the time of the German occupation of Norway. Finne died in 1992.",,
"Fiorini, Marcel",1922,2008,"http://www.rogallery.com/Fiorini_marcel/fiorini-biography.html","Born in Algeria in 1922, Marcel Fiorini was a French painter and engraver known for his avant-garde techniques. His work was shown across Europe, and he found international acclaim when he engraved a book of poetry for Jean Lescure. Fiorini died in 2008.",,
"Foren, Kim",1986,,"http://geraniumlake.com/our-story/","Kim Foren received her B.F.A. from the Pacific Northwest College of Art in Portland in 1986, and for 16 years, she showed her oil paintings at Portland’s Quartersaw Gallery. Now, she owns Geranium Lake Flowers, a nationally acclaimed event planning business run out of US Bancorp Tower in Portland. The business started in 1993 with Foren selling flowers out of her Volkswagen van in southeast Portland. Geranium Lake is now one of the largest flower shops in the state, but they have since grown to also provide event styling. ",,
"Forrest, Christopher",,,,,,TRUE
"Franklund Miller, Wendy",,,"http://wendyfranklundmiller.com/Home_Page.html","Wendy Franklund Miller studied art at the Museum Art School—now known as the Pacific Northwest College of Art—Spokane Falls Community College, Gonzaga University, Banff Center in Alberta, Canada, and Oregon State University. She has a B.S. from Eastern Washington University. Miller has been an artist for over 35 years and for the past 18 has worked largely in encaustic, an antique method of painting with wax. “For me,"" she has said, “making art is a delicate balance of pushing ahead then dropping back to listen and to see. It’s a balance of knowing and not knowing and trusting that.” She was awarded Artist of the Year by the Spokane Arts Commission in 2006. ",,TRUE
"Franoschek, Eduard",,,,,,
"French, Kay",,,,"Kay French’s childhood spent in the Midwest gave her an artistic interest in flatlands and storms. French moved to Portland in 1977, where she currently resides, shortly after receiving her B.A. in art history from Kent State University in Ohio. That background in art history remains one of her sources of imagery, she has said, along with weather books, newspapers, her physical surroundings, and her memories. She also has a B.F.A. in painting from the Pacific Northwest College of Art, which she received in 1986. ",,
"Fristensky, Jason",,,"http://www.waterwiselandscapes.com/about-us","Jason Fristensky received his Bachelor of Fine Arts from Oregon State University in 2000 and entered the photography industry. Later, he received his B.S. in landscape architecture from Colorado State University.",,TRUE
"Fry, Aaron L.",,,,,,TRUE
"Galli, Stan",1912,2009,,"Born in San Francisco in 1912, Stan Galli was an American illustrator and painter. He studied at the California School of Fine Arts and later at the Art Center School in Los Angeles. He is known for his partnership with Weyerhauser Timber, a company for which he painted over 50 works, and for the more than 20 postage stamps he produced. He is in the Society of Illustrators Hall of Fame. His work hangs in the Pentagon, and he has had pieces shown in the Smithsonian. Galli died in 2009",,
"Garten, Cliff",,,,"Cliff Garten is a sculptor and printmaker known for large public art installations.",FALSE,FALSE
"Gasjy, A.",,,,,,
"Gielish, Scott",,,"http://www.intarsia.org/","Scott Gielish is an artist and woodworker out of Eugene. He takes most of his inspiration from the natural world, including the animals that he finds on his property.",,
"Gilkey, Gordon W.",1912,,"http://www.monumentsmen.com/the-monuments-men/first-hand-participants-roster/gordon-gilkey","The first graduate of University of Oregon to receive a fine arts degree in printmaking, Gordon Gilkey, born in Albany in 1912, was also a World War II veteran. During WWII, he wrote a letter to President Roosevelt asking armed forces to limit their destruction of art pieces; he was then assigned to command a unit attempting to prevent and minimize the destruction and theft of European art. Gilkey joined Oregon State University's faculty in 1947 and remained until 1978 when he retired as the dean of the College of Liberal Arts. Gilkey Hall, the current home of the College of Liberal Arts, was renamed after him in 2002. After retiring from OSU, he became the curator of prints and drawings at the Portland Art Museum and professor and printmaker in residence at the Pacific Northwest College of Art. He also had an extensive personal collection of 10,000 prints that he donated to the Vivian and Gordon Gilkey Center for Graphic Arts at the Portland Art Museum. Among his numerous professional accomplishments include his assistance in the formation of the Oregon Arts Commission, the National Endowment for the Arts, and the National Endowment for the Humanities. His art is on display at numerous world-renowned museums including the Metropolitan Museum of Art in New York, the British Museum in London, and the Smithsonian in Washington, D.C.",TRUE,
