name,birthdate,deathdate,website,bio,faculty,student
"Gorham, Aimee",1883,1973,,"Born in 1883, Aimee Gorham was a Portland artist who attended Pratt Art Institute in New York. She worked primarily with marquetry but also created a number of stained-glass pieces. Her art is noted for its deeply spiritual meanings and symbolism. Her work hangs in many schools, churches, government buildings, and universities throughout Oregon. She was the only woman in her lifetime to become an honorary member of the American Institute of Architects. Gorham died in 1973.",,
"Goudy Powell, Joyce",,,,,,
"Goulet, Cie",,,"http://ciegoulet.net/ciegoulet.net/CIE_GOULET.html","A native of Glendale, California, Cie Goulet now resides in Portland with her artist husband, George Green, who also has pieces installed at Oregon State University. She received her B.F.A. from University of Oregon in 1963, went on to do graduate work at University of Oregon until 1967, and studied at the Parsons School of Design in 1973. According to her artist statement, she begins all her pieces—both print and paint—with a black background, because, as she has said, “It is stimulating to see the intensity of the colors react with black as a counterpoint.” ",,
"Gratz, Joan",,,"gratzfilm.com",,,
"Gray, Don",,,"http://dongraystudio.com","Don Gray grew up in La Grande, Oregon and began drawing and painting at a very young age, inspired by his surroundings. He has completed numerous outdoor murals, and his work is in many public collections, like the State of Oregon and the Hallie Ford Museum, as well as private collections, like poet Maya Angelou's personal collection. ",,
"Green, David",,,,"David Green received his B.F.A. from Ohio Wesleyan University in 1973 and his M.F.A. from University of Washington in 1978. He was a 1994 recipient of a Western States Arts Foundation fellowship. ",,
"Green, Dirk",,,,,,
"Green, George D.",1943,,"http://georgedgreen.com","Born in 1943, George Green was a post-modern abstract painter who worked primarily with acrylic. He studied at Oregon State University for two years before earning his B.S. at the University of Oregon. He later obtained his M.F.A. from Washington State University. He would go on to teach painting at the University of Texas and State University of New York. He now lives in Portland with his artist wife Cie Goulet, who also has pieces installed at OSU.",,TRUE
"Grey, Jacob",,,,,,
"Grimm, Jere; Grimm, Raymond",,,,,,
"Gross, Hannes",,,,,,
"Grumm, Tyson",1972,,"http://tysongrumm.com","Born in 1972 in Newcastle, Wyoming, Tyson Grumm received his B.F.A. in painting from Southern Oregon University. His exhibitions have recently taken place in Seattle, where he currently resides; Venice, California; and London. He has said that his work is difficult to explain because often, he creates his ideas for a piece as he is physically creating the piece. “When it is complete,” he has said, “it is an environment that I would love to see in real life. The objects which sparked the inspiration are often together in a space where it seems quirky or odd...Because viewers have their own story for each painting, it begins to seem that I did not create it, but took a picture of something I saw and was merely a witness to the scene.” ",,
"Gunn, Paul",1922,,,"Paul Gunn was born in 1922 and studied at Edinborough State Teachers College for his B.S. and California College of the Arts for his M.F.A. He was a professor of art at Oregon State University for 43 years, served as chairman of the department for eight years, and retired in 2002. ",TRUE,
"Haley, Sally",1908,2007,"http://www.laurarusso.com/artists/haley_s.html","Sally Haley and her husband, Michele Russo, who also has artwork at Oregon State University, moved to Portland in 1947 and were instrumental in the formation of Portland’s art scene. Originally from Connecticut, Haley received her B.F.A. from Yale University’s School of Fine Arts. She received an Oregon Governor’s Award for the Arts in 1989, and her work was honored in two retrospectives: at the Portland Art Museum in 1975 and Marylhurst College (now University) in 1993. She continued to paint until very late in her life. She died in 2007.",,
"Hall, Bonnie",1931,,,"Born in 1931 in Portland, Bonnie Hall received a B.A. in biology from University of Oregon and an M.A. in zoology from University of California-Berkeley. For 40 years, beginning at University of Michigan Museum, she was a scientific illustrator, and in 1992, she retired from Oregon State University after 30 years in the entomology department. She studied screenprinting at Linn-Benton Community College in 1991. After her death, OSU Press published Ever Blooming: The Art of Bonnie Hall, which includes some of the last works of her life with her descriptions of the pieces. ",TRUE,FALSE
"Hall, Carl",1921,,"http://www.karinclarkegallery.com/Carl-Hall.html","Born in 1921 in Washington D.C., Carl Hall quickly built a reputation as a painter. After WWII, he settled in Oregon and taught at Willamette University from 1947 to 1986. His works have been displayed in the Whitney Museum of American Art, the Detroit Institute of Art, Concoran Gallery of Art, Art Institute of Chicago, and Carnegie Institute. ",,
"Hara, Yoko",1969,,"http://www.augengallery.com/Artists/hara.html","Born in 1969 in Saitama, Japan, Yoko Hara received an M.F.A. from the Musashino Art University in Tokyo. She has work in international public collections, including in Israel and Ireland, and has done numerous exhibitions both in Japan and the Pacific Northwest. She currently resides in Tokyo. ",,
"Hardy, Tom",,,,"Tom Hardy obtained a B.S. in General Arts from Oregon State University in 1942 before going on to receive his M.F.A. from the University of Oregon. He then attended UC Berkely and Tulane University before becoming artist-in-residence at Reed College. His work can be found in galleries across the United States.",,TRUE
"Hareke, Alan",,,,,,
"Hart, Erin",,,,,,TRUE
"Hatfield, Audrey",,,,"Audrey Hatfield is an Oregon painter who was raised in Milwaukie. She received her degree from the Pacific Northwest College of Art in 1987. Her work draws inspiration from the landscapes where she lives in Bend, Oregon.",,
"Hayes, Stephen",1955,,"http://liberalarts.oregonstate.edu/art/faculty/hayes","Born in Washington, D.C. in 1955, Stephen Hayes has received numerous awards during his career, including fellowships from the Oregon Arts Commission, the Ford Family Foundation, and the Western States Art Federation. He was also the 2011 Hallie Ford Fellow. In 1980, he received his M.F.A. in painting from University of Wisconsin in Madison. Hayes is currently an instructor of painting at Oregon State Univeristy. ",TRUE,
"Heeks, Willy",1954,,"http://www.elizabethleach.com/Artist-Detail.cfm?ArtistsID=106","Willy Heeks was born in 1954 in Providence, Rhode Island.",,
"Hiratsuka, Yuji",,,"http://liberalarts.oregonstate.edu/art/faculty/hiratsuka","Born in Osaka, Japan, Yuji Hiratsuka moved to the United States to study printmaking in 1985; he received his M.A. from New Mexico State University and M.F.A. from Indiana University. He currently resides in Corvallis, Oregon and is a professor of printmaking at Oregon State University. Hiratsuka utilizes the intaglio printmaking process for most of his pieces, a process that involves etching, drypoint, aquatint, softground, and roulette on a copper plate. He uses a four-color printing process on Japanese paper, and, like the French Chine Colle technique, applies glue to the back of his piece and runs it through a press to bound it with a heavier rag paper. His work can be found in international collections such as the British Museum and the Tokyo Central Museum. ",TRUE,
"Hoffman, Kim",,,,"Kim Hoffman earned his B.S. at OSU and his M.F.A. at University of Washington. He teaches sculpture at Western Oregon University.",FALSE,TRUE
"Hogensen, Mark",,,"http://www.markhogensen.com","Painter Mark Hogensen earned his B.A. and B.F.A. at Oregon State University in 1988 and went on to earn his M.F.A at the University of Texas in San Antonio. Upon earning his M.F.A., he accepted a professorship at Palo Alto College. His work can also be found at Trinity University, San Antonio Museum of Art, and the University of Texas.",,TRUE
"Hoke, Nikki",,,"http://nikkihoke.blogspot.com",,,
"Houser, Allan",1914,1994,"http://www.indianart.us","Born in 1914, Allan Houser was a Chiricahua Apache modernist sculptor, painter, and illustrator. Houser studied at Dorothy Dunn's Art Studio at the Santa Fe Indian School. In 1949, he began a job as an art teacher at the Intermountain Indian School in Brigham City, Utah. In 1962, he joined the faculty of the Institute of American Indian Arts in Santa Fe. His work adapts Native American iconography and symbolism, and his pieces have been displayed across the United States. Perhaps the best known is ""Offering of the Sacred Pipe,"" which is at the US Mission to the United Nations in New York. Houser died in 1994.",,
"Howland, James C.",,,,"James Howland graduated from Oregon State University in 1938 with an engineering degree before going on to MIT. He would later return to Corvallis to found CH2M, an engineering firm now known as CH2M Hill, and the company for which OSU's alumni center is named. In addition to his engineering work, Howland was also an artist who focused on screen printing.",FALSE,TRUE
"Hunter, Raymond",,,,,,
"Islas, Claudia Ramirez",,,,"Claudia Ramirez Islas is Latina artist who received her degree in Studio Art from Lewis & Clark College in 2011. She then went on to receive her Master of Arts in Higher education from Oregon State University. She draws heavily on personal experience and recent events for thematic elements in her art, and her work spans multiple media.",FALSE,FALSE
"Iwanga, Paul",,,,,,
"Izquierdo, Manuel",,,"http://www.laurarusso.com/artists/izquierdo_m.html","Manuel Izquierdo fled his native Spain after the Spanish Civil War and first landed in France, where he was forced to live in refugee camps. After that, he moved to Portland, where he lived until his death in 2009. He began making woodcuts after being encouraged to do so by the well-known calligrapher Lloyd Reynolds. Izquierdo graduated from the Pacific Northwest College of Art in 1951, where he went on to teach for 46 years. He was regarded as a prominent sculptor as well as a printmaker, and many of his sculptural pieces are installed all over Portland. The sculptural gallery at PNCA is also named after him. He has other work in the Metropolitan Museum of Art in New York, the Philadelphia Museum, and the Seattle Art Museum. He received the Oregon Governor’s Art Award in 1991. ",,
"Jackson, Garrett T.",,,,,,
"Jackson, Laurence",,,,,,
"Jameson, Demetrios",,,"http://jamesonart.net/demetriosgjameson.html","Demetrios Jameson attended Washington University in St. Louis, Missouri, where he studied under famous German painter Max Beckmann. He taught at Oregon State University for 32 years. ",TRUE,
"Johanson, Aaron",,,,"Aaron Johanson is a Portland-based photographer inspired by Ansel Adams.",,
"Johanson, George",,,"http://johansonfinearts.com/index.html","A Pacific Northwest native, George Johanson studied at the Pacific Northwest College of Art, then known as the Museum Art School. He went on to teach printmaking, drawing, and painting at the same school, which is located in Portland, for 25 years until he retired in 1980. His work is in world-renowned collections including the the Smithsonian National Collection in Washington, D.C., the Art Institute of Chicago, and the Victoria and Albert Museum in London. In 1992, he was a recipient of the Oregon Governor’s Art Award and he was the first president of the Northwest Print Council. He continues to create pieces—paintings, prints, and ceramic tile works—in his studio in Portland.",,
"Johnson, Tony and Younkers, Shirod",,,,,,
"Jones, Fay",1936,,"http://www.laurarusso.com/artists/jones_f.html","Fay Jones was born in 1936 in Boston and received her B.F.A. from Rhode Island School of Design in 1957, though her interest in art came much sooner; inspired by her grandmother who took her to the Boston Museum of Fine Arts frequently, Jones has said she knew from an early age that she wanted to be a painter. Jones and her husband moved to Seattle when he accepted a job on the art faculty at University of Washington, and she began exhibiting her work in the city in 1970. In the mid-1990s, she began illustrating for The New Yorker. Jones and her husband continue to reside in Seattle. She received the Twining Humber Lifetime Achievement Award through Washington’s Artist Trust in 2005. Her most recent exhibition was a “Best of the Northwest” group exhibit at the Tacoma Art Museum. ",,
"Jordon, Shelley",,,"http://shelleyjordon.com","An Oregon State University professor since 1986, Shelley Jordon, a Brooklyn native, focuses her work on “interior and exterior worlds and connections between past and present experiences.” In 2010, she was the Visual Arts Fellow for the pilot program of the American University in Jerusalem and in 1994, she was a visiting artist at the American Academy in Rome. ",TRUE,
"Josephson, Mary",1953,,"http://www.maryjosephson.com/contact.html","Mary Josephson was born in Biloxi, Mississippi in 1953, but as a part of a military family, her setting changed frequently, a reality that taught her to “read people below the surface and make friends quickly.” She calls painting “her first love,” as it “has allowed me to express how I feel about the world more clearly than any other mode of communication,” she has said. She attributes her appreciation for the varied people she has encountered throughout her lifetime to her many locational changes, which have included living in desert communities in the Southwest to living near the California-Mexico border to living within the fertile San Joaquin Valley. “Through [painting] I am able to express what is constant about the cycle of life and what continuously rings true although metamorphosing and changing.” Josephson studied at the Parsons School of Design and Ecole National superior des Beaux Arts in Paris and received her B.F.A. in painting in 1986 from the Pacific Northwest College of Art in Portland. She received two fellowships in 1994: an Individual Artist’s Fellowship in Visual Arts Painting from the Oregon Arts Commission and a Monomania Printmaking Fellowship from the Pacific Northwest College of Art. ",,
"Joyce, Kacey",1947,,"http://www.augengallery.com/Artists/joyce.html","Born in 1947 in Portland, Kacey Joyce has shown work all over the West Coast, from Eugene, where she received her B.F.A. in printmaking from University of Oregon, to Seattle and San Francisco. In 1993, she received University of Oregon's Oregon Achievers Award. She currently has pieces in the Portland Art Museum. ",,
"Kadar, Kevin",,,"http://www.froelickgallery.com/Artist-Detail.cfm?ArtistsID=243","Though he currently lives and works out of Berlin, Kevin Kadar has lived in various locations across Europe for the past several years, and his travels have influenced the way he paints, particularly in his preference for dramatic composition over direct observation. He received his B.F.A. from Cooper Union in New York in 1978. For the past 25 years, he has been showing his work around Portland and is included in numerous permanent collections, like that at the Oregon Historical Society. His paintings in the Valley Library are created by a layering of acrylic paint in three separate colors. “The discovery of the three colors,” he has said, “allowed a simplification of process, which enabled a more free state of mind for the evolution of the subject matter, or image of the painting, through experimentation.” ",,
"Karchesky, Matt",,,,,,
"Kasapari, Debby",,,,"Debby Kaspari is an Oklahoma artist who specializes in drawing the natural world. Kaspari first began creating art in the 1980s during a trip to Trinidad, and she has spent many more trips to the tropics painting and drawing the forests and animals she encounters. She is the recipient of the Harvard Bullard scholarship, and her work has been displayed at the Woodson Museum and Bennington Center for the Arts, as well as on illustrations for multiple magazines and books.",FALSE,FALSE
"Kaserman, Roberta",,,,,,
"Keebler, Ron",,,"www.oregongallery.com/about_ron_keebler","Ron Keebler is a native Oregonian and photographer. Originally, he started showing his photographs at art fairs around the Northwest. In 1977, he began presenting his photographs at locations that he ran, including at several stores that he owned.",,
"Keenan, Kelly",,,,,,TRUE
"Kelly, Lee",1932,,"http://www.leekellysculpture.net","Lee Kelly was born in 1932 in McCall, Idaho, growing up largely on a ranch in nearby Riggins, and attended Vanport University and the Portland Art Museum School (now the Pacific Northwest College of Art). Lee first traveled to Nepal in 1979, a trip that inspired subsequent trips to Asia and Central America to study the regions’ art and architecture. An Oregon Arts Commission grant in 1985 allowed him years of collaboration between him and the Newari people of the Kathmandu Valley in Nepal, from whom he studied traditional bronze casting methods. He received a Governor’s Award for the Arts in 1987 and a Masters Fellowship in Sculpture from the state of Oregon in 1992. Kelly has pieces installed all over Oregon, including the University of Oregon School of Architecture, North Waterfront Park in Portland, and St. Vincent Hospital in Portland. ",,
"Kelsh, Nick",,,"http://www.nickkelsh.com/",,FALSE,FALSE
"Kirkland, Larry",1950,,"http://larrykirkland.com","Born in Port Hueneme, California in 1950, Larry Kirkland is an artist known for his public artworks. He graduated from Oregon State University with a degree in environmental design in 1972 and later from University of Kansas in 1974 with an M.F.A. He has work in Pennsylvania Station in New York, the American Red Cross Headquarters, and the National Academies of Science in Washington D.C., among other locations.",,TRUE
"Knapp, Stephen",,,"http://www.stephenknapp.com","Born in 1947, Stephen Knapp is an artist working with what he calls ""lightpaintings,"" the use of sculpture to make moving paintings using light. He has also worked with many other media, including glass walls and murals. He received he B.A. from Hamilton College in 1969. Though he originally worked as a photographer, Knapp began to branch out into creating etched metal murals. He would later turn to glass glazed ceramic murals, increasingly focusing on the ways that he could play with light in his work. Eventually, he learned to work with kiln-formed glass, a technique that would find its way into his lightpaintings.",,
"LaDuke, Betty",,,"http://www.bettyladuke.com","Betty LaDuke received her M.F.A. in printmaking from California State University in 1963. She taught for over thirty years at Southern Oregon University, teaching painting and drawing, Art in the Third World, and initiating classes in Women and Art. In 2013, a retrospective of her drawings, etchings, paintings, and mural panels, Betty LaDuke: Celebrating Life, was showcased at SOU’s Schneider Museum of Art. Her work is inspired largely from her international travel, and she has said that her “sketches, prints, acrylic paintings, and shaped wood panels often embrace the following themes: spiritual traditions that connect us to our past, present, and future; honoring the earth—plowing, planting, and harvesting; peace that brings an end to conflict and war; and transitions that recognize our life cycle from birth to bonding to ultimately letting go.” She received an Oregon Governor’s Award for the Arts in 1993 and numerous travel grants, including one from the Oregon Arts Commission, during her career. ",,
"LaMar, Kelly",,,,,,
"Lamb, Elizabeth",,,,,,TRUE
"Lavadour, James",,,"http://pdxcontemporaryart.com/lavadour","Born and raised in the small Eastern Oregon town of Adams, James Lavadour is a self-taught painter who most often depicts landscapes in his work. He recently opened the Crow’s Shadow Institute of the Arts, a nonprofit that aims to give Native Americans various opportunities through artistic development, on the Umatilla Reservation where he grew up. One of the most highly regarded painters in the Pacific Northwest, Lavadour has shown his work all over the United States since the early 1980s and has received numerous awards, including an artist fellowship at the Eiteljorg Museum of American Indians and Western Art in Indianapolis in 2005 and the Oregon Governor’s Art Award in 1994. ",,
"Laycock, Richard",,,"richardlaycockstudio.com","“There are endless vignettes to capture in the ever-changing conditions of western Oregon, which are strikingly similar to the Yorkshire countryside of my English youth,” begins Richard Laycock’s personal statement. According to him, his interest in pencil drawing specifically stems from how it “reduces the subject to shape and light, which color often masks.” More recently, he has begun experimenting with pastels as well. Laycock received his National Diploma in Design from Huddersfield College of Art in England and was the President’s Award Winner at the Beaverton Visual Arts Showcase in 2012. Galleries all around Oregon—from Bandon to Eugene to Lake Oswego to Salem—have shown his work. ",,
"Lee, Leslie",,,"http://www.meinersandlee.com",,,
"Levine, Sheperd",,,,"Born in New York, Shep Levine is a painter, professor emeritus at Oregon State University, and WWII veteran. The first show of his paintings, at the Santa Fe State Museum, occurred while he was studying at the University of New Mexico. After completing his graduate work and the University of New Mexico, he went on to teach temporarily at University of Oregon before beginning at OSU. After 37 years, he retired from teaching.",TRUE,
"Lopez, Emidio",,,,,,TRUE
"Lschupp, Carles Jacob",,,,,,
"Luckeroth, Greg",,,"http://gregluckeroth.com/home.html",,,TRUE
"Ludekens, Fred",1900,1982,,"Fred Ludekens was an artist and illustrator born in Hueneme, California in 1900. He began work as a billboard painter in San Francisco in 1920 and eventually joined the advertising agency of Lord & Thomas in 1931, later moving to the company's office in New York. He is known for his rural and wildlife scenes. Ludekens died in 1982.",,
"Luksch, Melinda",,,,,,TRUE
"MacKay",,,,,,
"MacLean, Ivan",,,"http://ivanmclean.com","Ivan Maclean is a sculptor who was born in California and who lived in multiple countries before settling in Oregon. He attended Cal Poly, receiving his degree in farm management. He works with wood, steel, marble, and glass to create sculptures for public and private art installations.",,
"Maul, John",,,"http://www.oxfordgallery.com/contemporary/maul.html","John Maul, born in Medford, Oregon in 1954, is a sculptor and Oregon State University Professor who received his B.F.A from Oregon State University in 1977 before going on to earn his M.F.A. from Syracuse University in 1980. He taught at Syracuse University until 1985 while also working as an Artist-in-Residence for a New York Foundation For the Arts project in school districts across New York state. In 198,5 he became head of Ball State University's Sculpture Program before accepting an appointment at OSU.",TRUE,TRUE
"Mayer, Jerry",,,,,,
"McKenzie, Robert Tait",1867,1938,,"Robert Tait McKenzie was a Canadian sculptor born in 1867. He received his degree in medicine from McGill University, and while studying for his degree, he began sculpting self-taught. McKenzie later moved on to University of Pennsylvania, where he became a member of the faculty. At the 1924 Paris Olympics, McKenzie earned an Olympic medal for sculpture. He died in 1838.",FALSE,FALSE
"Mee, Nancy",1951,,"http://www.dennisevans.net/index2.htm","Born in 1951 in the San Francisco Bay area, Nancy Mee studied at the American Center for Art and Artists in Paris in 1972, then Atelier 17 in Paris, where she studied etching, and then received her B.F.A. in printmaking from the University of Washington in 1974. She was an artist-in-residence in 1984 at Seattle’s Pilchuck Glass School, and it was there that she began experimenting with fusing and slumping, a process she has described as time consuming: “Plate glass is initially cut into shapes and forms using a common hand-held glass cutter. These pieces are then arranged in a large kiln and heated to a temperature where the glass becomes relatively soft and starts to bend and slump. At a slightly higher temperature, the various glass layers fuse together to become one solid piece of glass. The glass is then cooled (annealed) very slowly, which takes anywhere from four to ten days. At the end of this long wait, the kiln is opened and success or failure is confronted.” She now almost exclusively creates with glass on a larger scale, though her printmaking background shows in her many designs that incorporate photography. Mee currently works in Seattle out of Utopian Heights Studio, where her husband, multimedia artist Dennis Evans, also works. Her work has been shown at numerous places including the San Jose Museum of Art, the Brooklyn Museum, and Centre International d'Art Contemporain in Chateau Beychevelle, France, and she has work in permanent collections at Safeco Field in Seattle, the Seattle Art Museum, and Musee des Arts Decoratives in Lausanne, Switzerland. ",,
"Meehan, Howard",,,"http://www.hmeehan.com","Kathleen and Howard Meehan have completed numerous large outdoor commissions across the United States. According to Howard Meehan, “They reflect our interest in creating public art spaces that the community can relate to, identify with, and communicate the spirit of a place.” One of their public art pieces, titled Sleuth, is a 25-foot tall magnifying glass with a fingerprint 9 feet in diameter inscribed in the glass. The piece is located outside the Metropolitan Forensic Science Center in Albuquerque, New Mexico.",,
"Meehan, Kathleen & Meehan, Howard",,,"http://www.palmdesertartregistry.com/meehan.html","Kathleen and Howard Meehan have completed numerous large outdoor commissions across the United States. According to Howard Meehan, “They reflect our interest in creating public art spaces that the community can relate to, identify with, and communicate the spirit of a place.” One of their public art pieces, titled Sleuth, is a 25-foot tall magnifying glass with a fingerprint 9 feet in diameter inscribed in the glass. The piece is located outside the Metropolitan Forensic Science Center in Albuquerque, New Mexico.",,
"Meredith, Chi",,,"http://theartscenter.net/artist/meredith-chi/","Chi Meridith is an artist and painter who earned her B.F.A. in printmaking and painting at Oregon State University in 1976.",,TRUE
"Meštrović, Ivan",1883,1962,,"Born in 1883, Ivan Meštrović was a Croatian sculptor known for being the first person to have a one-man show at the Metropolitan Museum of Art in New York. Born in Croatia, Meštrović moved to Vienna as a young man to study at the Academy of Fine Arts. His work quickly gained recognition, and he began to display internationally. Before WWI, Meštrović moved to France and later to Belgrade and Rome. During the war, he found his ability to travel curtailed, but when the war ended he returned to Croatia. In 1946, he moved to the United States to become a professor at Syracuse University. In 195,4 he became a US citizen. In 1955, he became a professor of the University of Notre Dame. His work tended towards large, public sculptures, most often in bronze and often celebrating Slavic cultural themes. Meštrović died in 1962.",FALSE,FALSE
"Miller, Elizabeth",,,,,,TRUE
"Miller, Jeff",,,,,,TRUE
"Miller, Jennifer Lee",,,,,,
"Miller, Karen",,,,,FALSE,FALSE
"Miller, Karen Illman",1946,,"http://theartscenter.net/artist/miller-karen-illman","Born in Oakland, California in 1946, Karen Illman Miller is an artist specializing in Japanese stencil dyeing, or katazome. She has shown her work in several shows in Oregon, and it appears regularly in the Portland Japanese Garden and Kobo in Seattle. She teaches her process across the US and internationally.",,
"Miller, Thomas",,,"http://www.thomasmillerphotographer.com/biography.html","Thomas Miller currently resides in Portland and received his B.A. from University of Illinois, Urbana and his M.A. from University of California, Berkeley. In his statement provided to the Valley Library’s Northwest Art Collection, he said, “Deep in the desert lies the borderland between the real and the surreal, a place where all is possible and nothing certain.” ",,
"Miller, William",,,"http://www.williammillerphoto.com","Born in 1961 in New York, William Miller is a photographer who studied at Bard College. He has had work featured in GQ,The New York Post, and in projects for the Metropolitan Museum of Art. His art photography has been featured in magazines internationally as well as in the United States. In 2011, he won the Celeste Prize for Photography.",FALSE,FALSE
"Mills, Clarence",,,,"Clarence Mills is an artist, engraver, and member of the Haida Nation of the northern coast of British Columbia. He started studying traditional Haida art from his uncle at the age of 18. He has work across Canada, the United States, and Europe, including the Louvre in France, where he has a full size totem pole.",,
"Monroe, Al",,,,,,
"Monteith, Nancy",,,,"Nancy Monteith is a Utah State University instructor who received her B.F.A. from Oregon State University in 1992 and her master's of landscape architecture from Utah State University in 2002.",,TRUE
"Montgomery, L R",,,"http://lrmontgomery.com","L.R. Montgomery is an artist out of Spokane, Washington.",,
"Mooster, Terry",,,,,,
"Morandi, Tom",,,"http://www.tommorandi.com","Tom Morandi received his B.S. in art education from Indiana University of Pennsylvania and his M.F.A. in sculpture from Ohio State University. In 1986, he began teaching at Oregon State University, where he is now professor emeritus.",TRUE,
"Morris, Carl",1911,1993,"http://www.laurarusso.com/artists/morris_c.html","Born in Yorba Linda, California in 1911, Carl Morris studied at Fullerton Junior College, the Chicago Art Institute, Kunstgewerbeschule in Vienna, and the Vienna Academy of Fine Art. His work is in collections such as the Denver Art Museum, University of Colorado, and the University of Illinois. He was also the director of the Federal Art Program in Spokane, Washington. Morris died in 1993. His late wife, Hilda Morris, also has work installed on the Oregon State University campus. ",,
"Morris, Hilda",,,"http://laurarusso.com/artists/morris_h.html","Hilda Morris was a student of the Art Students League of New York and the Cooper Union School of Architecture in New York, where she originally worked primarily as a sculptor. She continued creating three-dimensional work while developing her calligraphy work with sumi-e ink. Of her major commissions include a piece at the Seattle Opera House. Carl Morris, her late husband, also has work installed on the Oregon State University campus. She died in 1991. ",,
"Morris, Kyle",1918,1979,,"Born in 1918, Kyle Morris was an abstract expressionist artist. Morris died in 1979.",,
"Mullin, Brie",,,"http://briemullin.com","Brie Mullen is a Portland-based photographer and visual artist.",,TRUE
"Munroe",,,,,,
